person,job,position
"Monica Flores","President, Latin America, ManpowerGroup, Mexico","Level 4Head of Business Unit/Head of Region"
"Becky Frankiewicz","President, North America, ManpowerGroup, USA","Level 4Head of Business Unit/Head of Region"
"Michael Friedenberg","President, Reuters, Thomson Reuters, United Kingdom","Level 4Head of Business Unit/Head of Region"
"James Frost","Managing Director, Anchorage Capital Europe, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Zaur Gahramanov","Chief Executive Officer, Socar Turkey Enerji, Turkey","Level 4Head of Business Unit/Head of Region"
"Deborah Geideman","Vice-President, International Relations, Jacobs, USA","Level 4Head of Business Unit/Head of Region"
"Michael Goltzman","Vice-President, Global Public Policy and Sustainability, The Coca-Cola Company, USA","Level 4Head of Business Unit/Head of Region"
"Salah Goss","Head, Mastercard Labs for Financial Inclusion, Mastercard, Kenya","Level 4Head of Business Unit/Head of Region"
"Vincent Granier","Senior Adviser to the Chief Executive Officer, Total, France","Level 4Head of Business Unit/Head of Region"
"Kelly Grier","Chairman, United States",""
"Nabil Habayeb","President and Chief Executive Officer, GE MENAT, United Arab Emirates","Level 4Head of Business Unit/Head of Region"
"Tawfik Hammoud","Global Leader, Principal Investors and Private Equity Practice",""
"Alex Harris","Head, Global Policy and Advocacy, Wellcome Trust, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Dirk Carsten Hoke","Chief Executive Officer, Airbus Defence and Space, Germany","Level 4Head of Business Unit/Head of Region"
"Fernando Honorato Barbosa","Chief Economist, Banco Bradesco, Brazil","Level 4Head of Business Unit/Head of Region"
"Cindy Hook","Chief Executive Officer, Asia-Pacific, Deloitte, Singapore","Level 4Head of Business Unit/Head of Region"
"Peter Huijboom","Global Chief Executive Officer, Dentsu Media and Global Clients, Dentsu Aegis Network, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Johannes Huth","Chief Executive Officer, Middle East and North Africa, Kohlberg Kravis Roberts & Co Partners, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Zara Ingilizian","Head of Shaping the Future of Consumption",""
"Lisa Ivers","Partner and Managing Director, BCG, USA","Level 4Head of Business Unit/Head of Region"
"Jim Jackson","Chief Marketing Officer, Hewlett Packard Enterprise, USA","Level 4Head of Business Unit/Head of Region"
"Carol Jagio Gonzalez Aguilar","Executive Secretary, Amazon Women's Council, OPIAC, Colombia","Level 4Head of Business Unit/Head of Region"
"Adam Kansler","President, Financial Markets, IHS Markit, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Karen Karniol-Tambour","Head, Investment Research, Bridgewater Associates, USA","Level 4Head of Business Unit/Head of Region"
"Philippe Kavafyan","Chief Executive Officer, MHI Vestas Offshore Wind, Denmark","Level 4Head of Business Unit/Head of Region"
"Anas Kentab","Executive Vice-President, Europe Repositioning, Saudi Basic Industries (SABIC), Saudi Arabia","Level 4Head of Business Unit/Head of Region"
"Justin Kintz","Vice-President",""
"Daniel Klier","Group General Manager"," Global Head, Sustainable Finance, HSBC Holdings, United Kingdom"
"Arvind Krishna","Senior Vice-President, Cloud and Cognitive Software, IBM, USA","Level 4Head of Business Unit/Head of Region"
"Vishal Lall","Chief Operating Officer, Hewlett Packard Enterprise, USA","Level 4Head of Business Unit/Head of Region"
"Laura Langdon","Chief Marketing Officer, Wipro, USA","Level 4Head of Business Unit/Head of Region"
"Martina Larkin","Head of Regional Strategies, Europe and Eurasia",""
"Marne Levine","Vice-President, Global Partnerships, Business and Corporate Development, Facebook, USA","Level 4Head of Business Unit/Head of Region"
"Jean Lin","Global Chief Executive Officer, Isobar, People's Republic of China","Level 4Head of Business Unit/Head of Region"
"Simon Lowden","Chief Sustainability Officer, PepsiCo, USA","Level 4Head of Business Unit/Head of Region"
"Giulio Malegori","Chief Executive Officer, Europe, Middle East and Africa, Dentsu Aegis Network, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Rebecca Marmot","Chief Sustainability Officer, Unilever, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Scott McDonald","Chief Executive Officer, Oliver Wyman Group (MMC), United Kingdom","Level 4Head of Business Unit/Head of Region"
"Adrian McDonald","President, Enterprise, Europe, Middle East and Africa (EMEA), DellEMC Europe, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Hubertus Meinecke","Regional Chair, Western Europe, South America and Africa",""
"Rajiv Memani","Chairman, India Region and Emerging Markets Committee, EY, India","Level 4Head of Business Unit/Head of Region"
"Nicola Mendelsohn","Vice-President, Europe, Middle East and Africa, Facebook, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Stephan Mergenthaler","Head of Strategic Intelligence",""
"Daniel Metcalfe","Global Head, Campaigns, Wellcome Trust, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Bill Michael","Chair",""
"Richard Mills","Global Head, Public and Government Affairs, UPL, Spain","Level 4Head of Business Unit/Head of Region"
"Rajeev Misra","Chief Executive Officer, Softbank Investment Advisers (Vision Fund), United Kingdom","Level 4Head of Business Unit/Head of Region"
"Nicholas Moakes","Chief Investment Officer, Wellcome Trust, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Olivier Murguet","Deputy Chief Executive Officer",""
"Piero Novelli","Co-President, Investment Bank, UBS, Switzerland","Level 4Head of Business Unit/Head of Region"
"Jean-Marc Ollagnier","Group Chief Executive, Resources, Accenture, France","Level 4Head of Business Unit/Head of Region"
"Shahid Padinhare Kodakatt","Commercial Director, Lulu Financial Group, United Arab Emirates","Level 4Head of Business Unit/Head of Region"
"Ulf Pehrsson","Vice-President, Government and Industry Relations, Ericsson, Sweden","Level 4Head of Business Unit/Head of Region"
"Franck Petitgas","Head, International, Morgan Stanley, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Robert Prince","Co-Chief Investment Officer, Bridgewater Associates, USA","Level 4Head of Business Unit/Head of Region"
"Jay Pryor","Vice-President, Business Development, Chevron, USA","Level 4Head of Business Unit/Head of Region"
"Gilles Rapin","Senior Vice-President, Business Development and Innovation, Kudelski Group, Switzerland","Level 4Head of Business Unit/Head of Region"
"Diane Reyes","Group General Manager, Global Liquidity and Cash Management, HSBC Holdings, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Darrell Rigby","Partner",""
"Alain Roumilhac","President, ManpowerGroup, France","Level 4Head of Business Unit/Head of Region"
"Laura Rudas","Executive Vice-President, Strategy, Palantir Technologies, USA","Level 4Head of Business Unit/Head of Region"
"Hernan Saenz","Partner and Director, Bain & Company, USA","Level 4Head of Business Unit/Head of Region"
"Thomas Saueressig","Member of the Executive Board, Product Engineering, SAP, Germany","Level 4Head of Business Unit/Head of Region"
"Frank Schulz","Global Vice-President, Government Relations, ArcelorMittal, Germany","Level 4Head of Business Unit/Head of Region"
"Nicole Schwab","Director, International Relations, National Geographic Society, USA","Level 4Head of Business Unit/Head of Region"
"Dharmendra Kumar Sinha","President, North America, Cognizant, USA","Level 4Head of Business Unit/Head of Region"
"Andrea B. Smith","Chief Administrative Officer, Bank of America, USA","Level 4Head of Business Unit/Head of Region"
"Paul Smyke","Head of Regional Agenda - North America, Member of the Executive Committee, World Economic Forum","Level 4Head of Business Unit/Head of Region"
"Dmitry Snesar","Member of the Board, VTB Leasing and VTB Pension Fund"," Senior Vice-President, VTB Bank, Russian Federation"
"John Stackhouse","Senior Vice-President, RBC (Royal Bank of Canada), Canada","Level 4Head of Business Unit/Head of Region"
"Kirstine Stewart","Head of Shaping the Future of Media, Entertainment and Culture",""
"Angela Strank","Chief Scientist",""
"Magesvaran Suranjan","President, Asia, Middle East and Africa, Procter & Gamble, Singapore","Level 4Head of Business Unit/Head of Region"
"Maryrose Sylvester","Managing Director, USA",""
"Luke Taylor","Chief Executive Officer, Omnicom Precision Marketing Group, USA","Level 4Head of Business Unit/Head of Region"
"Onyeche Ebunuta Tifase","Chief Executive Officer, Siemens, Nigeria","Level 4Head of Business Unit/Head of Region"
"Stefano Trojani","Head of Security Affairs",""
"Joe Ucuzoglu","Chief Executive Officer, USA, Deloitte, USA","Level 4Head of Business Unit/Head of Region"
"Peter Ungaro","Senior Vice-President and General Manager, High-Performance Computing and Artificial Intelligence, Hewlett Packard Enterprise, USA","Level 4Head of Business Unit/Head of Region"
"Jennifer Vescio","Global Head, Business Development, Uber Technologies, USA","Level 4Head of Business Unit/Head of Region"
"Beth Viner","Partner and Managing Director",""
"Andrew Walton","Group Director, Corporate Affairs, Lloyds Banking Group, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Lara J. Warner","Group Chief Risk Officer, Credit Suisse, Switzerland","Level 4Head of Business Unit/Head of Region"
"Kevin Warren","Chief Marketing Officer, UPS, USA","Level 4Head of Business Unit/Head of Region"
"Gordon Watson","Chief Executive Officer, AXA Asia, Hong Kong SAR, China","Level 4Head of Business Unit/Head of Region"
"Garance Wattez-Richard","Head, AXA Emerging Customers, AXA, France","Level 4Head of Business Unit/Head of Region"
"Philipp Wehle","Chief Executive Officer, International Wealth Management, Credit Suisse, Switzerland","Level 4Head of Business Unit/Head of Region"
"Miranda Wolpert","Head, Mental Health Priority Area, Wellcome Trust, United Kingdom","Level 4Head of Business Unit/Head of Region"
"Justin Wood","Head of Regional Agenda, Asia-Pacific",""
"Adrian Zadeh","Chief Executive Officer, J. Safra Sarasin Asset Management, Panama","Level 4Head of Business Unit/Head of Region"
"Lucy d'Arville","Partner, Bain & Company, Australia","Level 4Head of Business Unit/Head of Region"
"Sandrine de Guio","Global Vice-President",""
"Benoît Coeuré","Head of the BIS Innovation Hub, Bank for International Settlements (BIS), Switzerland","Level 4Dep Head of International Org./Reg-Func Head of Top International Org."
"Gita Gopinath","Chief Economist, International Monetary Fund (IMF), Washington DC","Level 4Dep Head of International Org./Reg-Func Head of Top International Org."
"Charlotte Petri Gornitzka","Deputy Executive Director, United Nations Children's Fund (UNICEF), New York","Level 4Dep Head of International Org./Reg-Func Head of Top International Org."
"Jeanine Plasschaert","Special Representative of the Secretary-General for Iraq and Head of the United Nations Assistance Mission for Iraq (UNAMI), New York","Level 4Dep Head of International Org./Reg-Func Head of Top International Org."
"Gabriela I. Ramos Patiño","Chief of Staff and Sherpa to the G20, Organisation for Economic Co-operation and Development (OECD), Paris","Level 4Dep Head of International Org./Reg-Func Head of Top International Org."
"Gerda Verburg","Assistant Secretary-General",""
"Amani Abou-Zeid","Commissioner for Infrastructure and Energy, African Union Commission, Addis Ababa","Level 5Regional/Functional Head of International Org."
"Francesca Colombo","Head, Health Division, Organisation for Economic Co-operation and Development (OECD), Paris","Level 5Regional/Functional Head of International Org."
"Nickolay Mladenov","Special Coordinator for the Middle East Peace Process, Office of the United Nations Special Coordinator (UNSCO), Jerusalem","Level 5Regional/Functional Head of International Org."
"Amre Moussa","Chairman and Member of the Panel of the Wise, African Union Commission, Cairo","Level 5Regional/Functional Head of International Org."
"Ruba Borno","Vice-President and General Manager, Cisco, USA","Level 5Middle Management & Advisers"
"Ayakha Melithafa","Recruitment Official, African Climate Alliance, South Africa","Level 5Middle Management & Advisers"
"Sophie Achieng Otiende","Programme Consultant, Awareness Against Human Trafficking (HAART Kenya), Kenya","Level 5Middle Management & Advisers"
"Yan Shuo","Global Shaper, Dalian Hub, People's Republic of China","Level 5Middle Management & Advisers"
"Penny Abeywardena","Commissioner for International Affairs, Mayor's Office, City of New York, USA","Level 5Local/Municipal Head"
"Fahd Al-Rasheed","President, Royal Commission for Riyadh City, Saudi Arabia","Level 5Local/Municipal Head"
"Maryam Eid AlMheiri","Director-General, Abu Dhabi Government Office, United Arab Emirates","Level 5Local/Municipal Head"
"Hanspeter Ambühl","President of the Davos Parliament, Gemeinde Davos, Switzerland","Level 5Local/Municipal Head"
"Tarzisius Caviezel","Mayor of Davos, Switzerland","Level 5Local/Municipal Head"
"Alessandro Della Vedova","President of the Parliament of Grisons, Switzerland","Level 5Local/Municipal Head"
"Jin Guowei","Vice-Mayor of Dalian, People's Republic of China","Level 5Local/Municipal Head"
"Jin Xiangjun","Vice-Mayor of Tianjin, People's Republic of China","Level 5Local/Municipal Head"
"Mohammed Khalifa Al Mubarak","Chairman, Abu Dhabi Department of Culture and Tourism, United Arab Emirates","Level 5Local/Municipal Head"
"Li Bo","Vice-Mayor of Chongqing, People's Republic of China","Level 5Local/Municipal Head"
"Sir Edward Lister","Chief Strategy Adviser to the Prime Minister of the United Kingdom","Level 5Local/Municipal Head"
"Pierre Maudet","State Councillor, Department of Economic Development of Geneva, Switzerland","Level 5Local/Municipal Head"
"William Russell","Lord Mayor of the City of London, United Kingdom","Level 5Local/Municipal Head"
"Stav Shaffir","Member of Parliament, Knesset, Israel","Level 5Local/Municipal Head"
